pipeline	stage	ACC_T	COV_T	COV_E	1-DR	O_DT	O_D	O_R	O_RD	O_LT	O_LF
J_A	stage_1	0.982	0.577	0.878	0.923	0.995	0.996	0.908	1	0.876	1
J_A	stage_2	0.979	0.555	0.88	0.941	0.995	0.996	0.866	1	0.824	1
J_A	stage_3	0.976	0.538	0.88	0.95	0.995	0.996	0.842	1	0.794	1
J_B	stage_1	0.98	0.212	0.549	0.67	0.963	0.961	0.965	1	1	1
J_B	stage_2	0.968	0.206	0.529	0.714	0.949	0.944	0.947	1	1	1
J_B	stage_3	0.961	0.201	0.517	0.747	0.941	0.933	0.931	1	1	1
J_C	stage_1	0.775	0.572	0.73	0.84	0.991	0.993	0.995	0.995	1	1
J_C	stage_2	0.765	0.574	0.744	0.89	0.988	0.988	0.993	0.993	1	1
J_C	stage_3	0.751	0.549	0.701	0.891	0.987	0.987	0.992	0.992	1	1
R_A	stage_1	0.998	0.638	0.915	0.947	0.994	0.996	0.992	1	1	1
R_A	stage_2	0.995	0.615	0.911	0.957	0.994	0.995	0.989	1	1	1
R_A	stage_3	0.993	0.615	0.925	0.969	0.994	0.995	0.988	1	1	1
R_B	stage_1	0.986	0.558	0.832	0.895	0.991	0.992	0.975	1	1	1
R_B	stage_2	0.984	0.537	0.829	0.92	0.991	0.992	0.974	1	1	1
R_B	stage_3	0.982	0.52	0.83	0.938	0.992	0.993	0.974	1	1	1
R_C	stage_1	0.996	0.951	0.984	0.99	0.994	0.996	0.992	1	1	1
R_C	stage_2	0.989	0.933	0.977	0.989	0.994	0.996	0.99	1	1	1
R_C	stage_3	0.984	0.921	0.974	0.989	0.993	0.996	0.989	1	1	1
T_A	stage_1	0.524	0.008	0.404	0.462	0.986	0.985	0.987	0.999	1	0.998
T_A	stage_2	0.523	0.009	0.391	0.482	0.982	0.977	0.978	0.998	1	0.997
T_A	stage_3	0.526	0.009	0.389	0.505	0.978	0.969	0.974	0.997	1	0.997
T_B	stage_1	0.623	0.003	0.382	0.428	0.931	0.872	0.945	0.976	1	0.995
T_B	stage_2	0.575	0.004	0.358	0.423	0.887	0.787	0.909	0.943	1	0.988
T_B	stage_3	0.555	0.004	0.348	0.43	0.855	0.725	0.881	0.911	1	0.985
T_C	stage_1	0.371	0.025	0.174	0.267	0.874	0.782	0.951	0.95	1	0.976
T_C	stage_2	0.381	0.024	0.169	0.328	0.797	0.654	0.905	0.898	1	0.957
T_C	stage_3	0.367	0.023	0.161	0.351	0.737	0.551	0.867	0.849	1	0.939
JRT	stage_1	0.98	0.212	0.549	0.67	0.963	0.961	0.965	1	1	1
JRT	stage_2	0.99	0.426	0.872	0.933	0.973	0.967	0.966	1	1	1
JRT	stage_3	0.98	0.305	0.508	0.751	0.97	0.961	0.962	0.999	1	1
JTR	stage_1	0.98	0.212	0.549	0.67	0.963	0.961	0.965	1	1	1
JTR	stage_2	0.947	0.119	0.414	0.594	0.96	0.953	0.957	0.999	1	0.999
JTR	stage_3	0.98	0.323	0.879	0.939	0.97	0.961	0.958	0.999	1	0.999
RJT	stage_1	0.998	0.639	0.915	0.947	0.994	0.996	0.992	1	1	1
RJT	stage_2	0.976	0.426	0.605	0.788	0.969	0.967	0.963	1	1	1
RJT	stage_3	0.967	0.306	0.505	0.745	0.966	0.961	0.959	0.999	1	1
RTJ	stage_1	0.998	0.638	0.915	0.947	0.994	0.996	0.992	1	1	1
RTJ	stage_2	0.985	0.348	0.514	0.71	0.99	0.987	0.983	0.999	1	0.999
RTJ	stage_3	0.967	0.306	0.595	0.792	0.964	0.957	0.952	0.999	1	0.999
TJR	stage_1	0.525	0.008	0.411	0.469	0.986	0.985	0.987	0.999	1	0.998
TJR	stage_2	0.947	0.125	0.545	0.686	0.955	0.949	0.957	0.999	1	0.999
TJR	stage_3	0.98	0.327	0.885	0.942	0.966	0.958	0.957	0.999	1	0.999
TRJ	stage_1	0.525	0.008	0.411	0.469	0.986	0.985	0.987	0.999	1	0.998
TRJ	stage_2	0.984	0.369	0.912	0.948	0.99	0.988	0.989	0.999	1	0.999
TRJ	stage_3	0.967	0.318	0.604	0.798	0.964	0.959	0.957	0.999	1	0.999